campaign_id,ozon_sku,offer_id,internal_sku,campaign_group,campaign_state,current_bid_raw,current_bid_normalized,top_position,sku_based,note
35963464,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REF_BLOGGER,RUNNING,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,no,не SKU-based; product endpoint отвечает 400 «Кампания не найдена»
36108321,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REF_BLOGGER,RUNNING,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,no,не SKU-based; product endpoint отвечает 400 «Кампания не найдена»
36127409,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REF_BLOGGER,RUNNING,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,no,не SKU-based; product endpoint отвечает 400 «Кампания не найдена»
36232951,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REF_BLOGGER,RUNNING,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,no,не SKU-based; product endpoint отвечает 400 «Кампания не найдена»
36480299,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REF_BLOGGER,RUNNING,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,no,не SKU-based; product endpoint отвечает 400 «Кампания не найдена»
28834924,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REF_VK,RUNNING,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,no,не SKU-based; product endpoint отвечает 400 «Кампания не найдена»
28834925,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REF_VK,RUNNING,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,no,не SKU-based; product endpoint отвечает 400 «Кампания не найдена»
28834926,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REF_VK,RUNNING,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,no,не SKU-based; product endpoint отвечает 400 «Кампания не найдена»
28834927,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REF_VK,RUNNING,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,no,не SKU-based; product endpoint отвечает 400 «Кампания не найдена»
29125324,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REF_VK,RUNNING,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,no,не SKU-based; product endpoint отвечает 400 «Кампания не найдена»
29125325,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REF_VK,RUNNING,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,no,не SKU-based; product endpoint отвечает 400 «Кампания не найдена»
29125326,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REF_VK,RUNNING,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,no,не SKU-based; product endpoint отвечает 400 «Кампания не найдена»
29125327,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REF_VK,RUNNING,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,no,не SKU-based; product endpoint отвечает 400 «Кампания не найдена»
29125328,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REF_VK,RUNNING,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,no,не SKU-based; product endpoint отвечает 400 «Кампания не найдена»
29125329,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REF_VK,RUNNING,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,no,не SKU-based; product endpoint отвечает 400 «Кампания не найдена»
35919636,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REF_VK,RUNNING,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,no,не SKU-based; product endpoint отвечает 400 «Кампания не найдена»
35919637,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REF_VK,RUNNING,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,no,не SKU-based; product endpoint отвечает 400 «Кампания не найдена»
36080181,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REF_VK,RUNNING,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,no,не SKU-based; product endpoint отвечает 400 «Кампания не найдена»
36080182,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REF_VK,RUNNING,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,no,не SKU-based; product endpoint отвечает 400 «Кампания не найдена»
36198689,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REF_VK,RUNNING,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,no,не SKU-based; product endpoint отвечает 400 «Кампания не найдена»
36198690,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REF_VK,RUNNING,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,no,не SKU-based; product endpoint отвечает 400 «Кампания не найдена»
36302803,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REF_VK,RUNNING,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,no,не SKU-based; product endpoint отвечает 400 «Кампания не найдена»
36302804,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REF_VK,RUNNING,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,no,не SKU-based; product endpoint отвечает 400 «Кампания не найдена»
36406750,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REF_VK,RUNNING,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,no,не SKU-based; product endpoint отвечает 400 «Кампания не найдена»
36406751,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REF_VK,RUNNING,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,no,не SKU-based; product endpoint отвечает 400 «Кампания не найдена»
14503166,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,SEARCH_PROMO,RUNNING,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,no,не SKU-based; product endpoint отвечает 400 «Кампания не найдена»
